Bus_No,CloudLocation,FileNameNoPath,PrivateId,CreationDate,ArchivedDate,DeletedAt,State,FileRestored,ReturnToLongTermDate
4597300,b612ecf4-1e93-4ffc-92f5-652117ca7140,95915167594.wav,e1eb1240-d242-4906-9233-d83bfeddc5a3,1564666027142,1565875667699,,6,,1570233600000
4597300,dff93106-be09-4243-a738-6dc3c819ade9,96595057789.wav,a0e65654-8d56-4e14-a390-e33b9c5f3644,1567627264972,1568836916768,,6,,1570060800000
4597300,7f393454-c5cc-4811-b894-ab8a0442c8ef,96470475395.wav,c96ad8c4-a757-4e60-806b-20304b1ed570,1567038921541,1568248554227,,6,,1569888000000
4597300,4cb223e1-f1f9-4d86-9802-55abf9eacc8b,5026212057.wav,68a7ae73-666f-4ee9-9e01-0038c4f7052a,1550765030777,1553357082022,,6,,1570233600000
4597300,f6016776-6957-47a8-973d-84cec542f080,96680078828.wav,d786f6bf-8f93-4729-8cb9-106998fd4343,1568035161366,1569244864311,,6,,1570147200000
4597300,40918148-54b0-4fe9-9574-763d9c044caa,96299009240.wav,6f26cfc7-21be-4b3a-a563-70ac2885b60a,1566336605111,1567546313373,,6,,1569456000000
4597300,ffeaa360-cd74-4a6a-b443-84b8be27b77e,96135989352.wav,b3819120-6231-4af2-9259-a0e0c8beca0e,1565617477205,1566827150995,,6,,1569715200000
4597300,4cb1e071-ea6a-45bf-91d7-c9125c60c472,5069896930.wav,6a9228ce-eb40-467b-a498-637e09c58539,1555529429505,1558121552359,,6,,1569456000000
4597300,102921a5-140a-496d-b11f-4ce760ebafd0,5088592147.wav,e03bb3fe-68a5-43c9-ac1a-a90071dd1afa,1557334962517,1559927074083,,6,,1569628800000
4597300,a9f805e5-1568-4fac-8b64-e2992e204b5b,95102176527.wav,223144e7-9341-4791-bd1c-52fbd582fcf5,1561051436382,1563141824309,,6,,1569628800000
4597300,2308ac39-d83a-4dda-88a7-1641d60ba489,96436325553.wav,03694854-7a9f-4445-af20-5b1948a2e438,1566920062770,1568129757334,,6,,1569888000000
4597300,265815a0-12bb-4166-bc59-65fad3ebcb07,96165646486.wav,159d649b-f791-4b6c-95f0-ab2062356b2f,1565719047410,1566928672718,,6,,1569456000000
4597300,a5469335-477c-4f2b-93d4-8a4b3800d320,96142222090.wav,63dac8c5-68d5-4a71-a7c9-ab1e08c4ea2e,1565703819201,1566913551377,,6,,1570060800000
